	BLS001A	BLS010A	BLS010A_2	BLS002A	BLS003A	BLS010A_3	BLS001A_2	BLS001A_3	BLS002A_2	BLS003A_2	BLS003A_3	BLS002A_3
L-GLUTAMINE	4402614	225000000	258000000	19400000	521324	241000000	39100000	43600000	136000000	5816935	4416038	116000000
L-HISTIDINE	40600000	45700000	47700000	33000000	25800000	48300000	37500000	36400000	22100000	16700000	16200000	23900000
L-Isoleucine	11900000	46100000	51800000	13500000	3895915	46300000	40300000	39800000	26300000	37300000	25200000	31400000
L-KYNURENINE	416708	1224634	1332005	1702940	508523	1297788	1371350	1311124	1933538	5122600	3269713	2258588
LL-2,6-DIAMINOHEPTANEDIOATE	92295	119909	116251	50048	0	276669	368677	114387	710275	83727	104264	715811
L-LEUCINE_R1	35800000	113000000	137000000	32100000	8002381	113000000	123000000	125000000	68700000	76000000	50300000	81500000
L-LEUCINE_R2	175868	343849	584499	148120	77451	412883	348255	437689	208095	310287	217393	283033
L-Leucine 13C6_R1	37800000	35900000	34900000	35500000	33600000	30600000	35000000	35500000	31100000	37900000	35500000	33900000
L-Leucine 13C6_R2	0	35694	0	9792	0	0	0	0	0	0	8953	0
L-Leucine-D10_R1	32100000	31400000	30300000	28100000	27500000	26300000	28700000	30700000	26100000	31200000	28500000	26000000
L-Leucine-D10_R2	12547	0	48848	7553	0	0	11396	0	0	52630	8280	0
L-LYSINE_R1	3599752	3446189	2743480	5463348	1941203	2919714	4296163	4292248	3950814	3615061	3641321	4319961
L-LYSINE_R2	770779	764435	643295	947091	469358	787444	1313303	1481296	1291363	1382183	1317532	1496615
L-METHIONINE	4999564	17900000	19200000	7917883	1039355	18900000	24100000	24900000	21000000	13200000	10100000	25000000
L-Phenylalanine 13C6	29500000	31700000	30400000	28800000	28100000	28300000	29200000	31000000	26500000	30900000	28300000	28700000
L-PROLINE	26800000	60400000	61000000	44800000	15900000	59100000	61200000	61300000	57800000	67200000	57500000	59600000
L-SERINE	3268104	6349969	6360522	3986366	1667075	5776166	2954134	3503794	2292656	1565869	1582796	2521408
L-Tyrosine 13C6	5212962	5451212	5349401	4907046	4732551	4948494	4856992	5150985	4548389	5206194	4985645	4708424
LysoPC (16:0)	0	4099	0	0	3538	0	2950	0	0	0	0	5936
LysoPC (16:1)	0	0	0	0	0	0	0	0	0	0	0	0
LysoPC (18:2)	22060	191938	15680	162810	236155	104729	54810	4260	15948	13857	49372	138013
LysoPC (20:4)	0	0	0	0	0	0	0	0	0	0	0	0
LysoPE (18:0)	36874	97115	24958	39852	556988	46303	218305	32544	69668	145538	141374	162421
LysoPE (18:1)_R1	14356	347277	16034	120015	345036	173151	47097	0	15831	24896	73403	166261
LysoPE (18:1)_R2	0	100285	4152	64606	201852	46124	20916	0	11714	16913	39099	79687
LysoPE (22:6)	0	175321	16221	54306	59051	114659	26848	5059	17531	13374	24449	92639
