	Standardized_name	Formula	Exact_mass	Super_class	Main_class	Sub_class	Pubchem_CID	CHEBI_ID	HMDB_ID	LM_ID	KEGG_ID	INCHI_KEY	REFMET_ID
GLYCINE	Glycine	C2H5NO2	75.032	Organic acids	Amino acids and peptides	Amino acids	750	15428	HMDB0000123		C00037	DHMQDGOQFOQNFH-UHFFFAOYSA-N	RM0135888
Glycocholic Acid (GCA)_R1	Glycocholic acid	C26H43NO6	465.309	Sterol Lipids	Bile acids	C24 Bile acids	10140	17687	HMDB0000138	LMST05030001	C01921	RFDAIACWWDREDC-FRVQLJSFSA-N	RM0135849
Glycocholic Acid (GCA)_R2	Glycocholic acid	C26H43NO6	465.309	Sterol Lipids	Bile acids	C24 Bile acids	10140	17687	HMDB0000138	LMST05030001	C01921	RFDAIACWWDREDC-FRVQLJSFSA-N	RM0135849
Glycocholic Acid (GCA)_R3	Glycocholic acid	C26H43NO6	465.309	Sterol Lipids	Bile acids	C24 Bile acids	10140	17687	HMDB0000138	LMST05030001	C01921	RFDAIACWWDREDC-FRVQLJSFSA-N	RM0135849
Glycocholic Acid (GCA)_R4	Glycocholic acid	C26H43NO6	465.309	Sterol Lipids	Bile acids	C24 Bile acids	10140	17687	HMDB0000138	LMST05030001	C01921	RFDAIACWWDREDC-FRVQLJSFSA-N	RM0135849
Glycocholic Acid (GCA)_R5	Glycocholic acid	C26H43NO6	465.309	Sterol Lipids	Bile acids	C24 Bile acids	10140	17687	HMDB0000138	LMST05030001	C01921	RFDAIACWWDREDC-FRVQLJSFSA-N	RM0135849
Glycodeoxycholic acid (GDCA)_R1	Glycodeoxycholic acid	C26H43NO5	449.3141	Sterol Lipids	Bile acids	C24 Bile acids	3035026	27471	HMDB0000631	LMST05030006	C05464	WVULKSPCQVQLCU-BUXLTGKBSA-N	RM0125880
Glycodeoxycholic acid (GDCA)_R2	Glycodeoxycholic acid	C26H43NO5	449.3141	Sterol Lipids	Bile acids	C24 Bile acids	3035026	27471	HMDB0000631	LMST05030006	C05464	WVULKSPCQVQLCU-BUXLTGKBSA-N	RM0125880
Glycodeoxycholic acid (GDCA)_R3	Glycodeoxycholic acid	C26H43NO5	449.3141	Sterol Lipids	Bile acids	C24 Bile acids	3035026	27471	HMDB0000631	LMST05030006	C05464	WVULKSPCQVQLCU-BUXLTGKBSA-N	RM0125880
Glycodeoxycholic acid (GDCA)_R4	Glycodeoxycholic acid	C26H43NO5	449.3141	Sterol Lipids	Bile acids	C24 Bile acids	3035026	27471	HMDB0000631	LMST05030006	C05464	WVULKSPCQVQLCU-BUXLTGKBSA-N	RM0125880
Glycodeoxycholic acid (GDCA)_R5	Glycodeoxycholic acid	C26H43NO5	449.3141	Sterol Lipids	Bile acids	C24 Bile acids	3035026	27471	HMDB0000631	LMST05030006	C05464	WVULKSPCQVQLCU-BUXLTGKBSA-N	RM0125880
Glycoursodeoxycholic acid (G-UDCA)_R1	Glycoursodeoxycholic acid	C26H43NO5	449.3141	Sterol Lipids	Bile acids	C24 Bile acids	12310288	89929	HMDB0000708	LMST05030016		GHCZAUBVMUEKKP-XROMFQGDSA-N	RM0126064
Glycoursodeoxycholic acid (G-UDCA)_R2	Glycoursodeoxycholic acid	C26H43NO5	449.3141	Sterol Lipids	Bile acids	C24 Bile acids	12310288	89929	HMDB0000708	LMST05030016		GHCZAUBVMUEKKP-XROMFQGDSA-N	RM0126064
Glycoursodeoxycholic acid (G-UDCA)_R3	Glycoursodeoxycholic acid	C26H43NO5	449.3141	Sterol Lipids	Bile acids	C24 Bile acids	12310288	89929	HMDB0000708	LMST05030016		GHCZAUBVMUEKKP-XROMFQGDSA-N	RM0126064
GUANINE_R1	Guanine	C5H5N5O	151.0494	Nucleic acids	Purines	Hypoxanthines	135398634	16235	HMDB0000132		C00242	UYTPUPDQBNUYGX-UHFFFAOYSA-N	RM0018303
GUANINE_R2	Guanine	C5H5N5O	151.0494	Nucleic acids	Purines	Hypoxanthines	135398634	16235	HMDB0000132		C00242	UYTPUPDQBNUYGX-UHFFFAOYSA-N	RM0018303
HEXOSE-DISACCHARIDE_R1	Hexose disaccharide	C12H22O11	342.1162	Carbohydrates	Disaccharides	Disaccharides							RM0108553
HEXOSE-DISACCHARIDE_R2	Hexose disaccharide	C12H22O11	342.1162	Carbohydrates	Disaccharides	Disaccharides							RM0108553
Hippuric Acid	Hippuric acid	C9H9NO3	179.0582	Benzenoids	Benzamides	Hippuric acids	464	18089	HMDB0000714		C01586	QIAFMBKCNZACKA-UHFFFAOYSA-N	RM0135980
HOMOCYSTEINE	Homocysteine	C4H9NO2S	135.0354	Organic acids	Amino acids and peptides	Amino acids	91552	17588	HMDB0000742		C00155	FFFHZYDWPBMWHY-VKHMYHEASA-N	RM0136837
Hydroxyhippuric acid	Hydroxyhippuric acid	C9H9NO4	195.0532	Benzenoids	Benzamides	Hippuric acids							RM0004631
Isobutyrylcarnitine_R1	"CAR 3:0;2Me"	C11H21NO4	231.1471	Fatty Acyls	Fatty esters	Acyl carnitines	10177002	73017	HMDB0000736	LMFA07070075		LRCNOZRCYBNMEP-UHFFFAOYSA-N	RM0153770
Isobutyrylcarnitine_R2	"CAR 3:0;2Me"	C11H21NO4	231.1471	Fatty Acyls	Fatty esters	Acyl carnitines	10177002	73017	HMDB0000736	LMFA07070075		LRCNOZRCYBNMEP-UHFFFAOYSA-N	RM0153770
Isocytosine	2-Amino-4-hydroxypyrimidine	C4H5N3O	111.0433	Nucleic acids	Pyrimidines	Pyrimidones	66950	55502				XQCZBXHVTFVIFE-UHFFFAOYSA-N	RM0021625
Isovalerylcarnitine_R1	"CAR 4:0;3Me"	C12H23NO4	245.1627	Fatty Acyls	Fatty esters	Acyl carnitines	169235	70819	HMDB0000688	LMFA07070077		IGQBPDJNUXPEMT-SNVBAGLBSA-N	RM0154016
Isovalerylcarnitine_R2	"CAR 4:0;3Me"	C12H23NO4	245.1627	Fatty Acyls	Fatty esters	Acyl carnitines	169235	70819	HMDB0000688	LMFA07070077		IGQBPDJNUXPEMT-SNVBAGLBSA-N	RM0154016
Isovalerylcarnitine_R3	"CAR 4:0;3Me"	C12H23NO4	245.1627	Fatty Acyls	Fatty esters	Acyl carnitines	169235	70819	HMDB0000688	LMFA07070077		IGQBPDJNUXPEMT-SNVBAGLBSA-N	RM0154016
Kynurenic Acid	Kynurenic acid	C10H7NO3	189.0426	Alkaloids	Anthranilic acid alkaloids	Acridone alkaloids	3845	18344	HMDB0000715		C01717	HCZHHEIFKROPDY-UHFFFAOYSA-N	RM0032431
L-(+)-Lactic Acid	Lactic acid	C3H6O3	90.0317	Organic acids	Short-chain acids	Short-chain acids	107689	422	HMDB0000190		C00186	JVTAAEKCZFNVCJ-REOHCLBHSA-N	RM0135904
L-ANSERINE	Anserine	C10H16N4O3	240.1222	Organic acids	Amino acids and peptides	Dipeptides	112072	18323	HMDB0000194		C01262	MYYIAHXIVFADCU-QMMMGPOBSA-N	RM0135907
L-ARGININE	Arginine	C6H14N4O2	174.1117	Organic acids	Amino acids and peptides	Amino acids	6322	16467	HMDB0000517		C00062	ODKSFYDXXFIFQN-BYPYZUCNSA-N	RM0135963
L-CARNITINE	Carnitine	C7H15NO3	161.1052	Organic nitrogen compounds	Carnitines	Carnitines	10917	16347	HMDB0000062		C00487	PHIQHXFUZVPYII-ZCFIWIBFSA-N	RM0008606
L-CYSTATHIONINE	Cystathionine	C7H14N2O4S	222.0674	Organic acids	Amino acids and peptides	Amino acids	439258	17482	HMDB0000099		C02291	ILRYLPWNYFXEMH-WHFBIAKZSA-N	RM0135885
L-Cystine	Cystine	C6H12N2O4S2	240.0239	Organic acids	Amino acids and peptides	Amino acids	67678	16283	HMDB0000192		C00491	LEVWYRKDKASIDU-IMJSIDKUSA-N	RM0135906
Leu Pro_R1	Leu-Pro	C11H20N2O3	228.1474	Organic acids	Amino acids and peptides	Dipeptides	80817	73580	HMDB0011175			VTJUNIYRYIAIHF-IUCAKERBSA-N	RM0052764
Leu Pro_R2	Leu-Pro	C11H20N2O3	228.1474	Organic acids	Amino acids and peptides	Dipeptides	80817	73580	HMDB0011175			VTJUNIYRYIAIHF-IUCAKERBSA-N	RM0052764
L-GLUTAMINE	Glutamine	C5H10N2O3	146.0691	Organic acids	Amino acids and peptides	Amino acids	5961	18050	HMDB0000641		C00064	ZDXPYRJPNDTMRX-VKHMYHEASA-N	RM0012560
L-HISTIDINE	Histidine	C6H9N3O2	155.0695	Organic acids	Amino acids and peptides	Amino acids	6274	15971	HMDB0000177		C00135	HNDVDQJCIGZPNO-YFKPBYRVSA-N	RM0129894
L-Isoleucine	Isoleucine	C6H13NO2	131.0946	Organic acids	Amino acids and peptides	Amino acids	6306	17191	HMDB0000172	LMFA01100047	C00407	AGPKZVBTJJNPAG-WHFBIAKZSA-N	RM0134975
L-KYNURENINE	Kynurenine	C10H12N2O3	208.0848	Organic acids	Amino acids and peptides	Amino acids	161166	16946	HMDB0000684		C00328	YGPSJZOEDVAXAB-QMMMGPOBSA-N	RM0132226
LL-2,6-DIAMINOHEPTANEDIOATE	2,6-Diaminopimelic acid	C7H14N2O4	190.0954	Organic acids	Amino acids and peptides	Amino acids	99290	16488			C00666	GMKMEZVLHJARHF-SYDPRGILSA-N	RM0136793
L-LEUCINE_R1	Leucine	C6H13NO2	131.0946	Organic acids	Amino acids and peptides	Amino acids	6106	15603	HMDB0000687		C00123	ROHFNLRQFUQHCH-YFKPBYRVSA-N	RM0136379
L-LEUCINE_R2	Leucine	C6H13NO2	131.0946	Organic acids	Amino acids and peptides	Amino acids	6106	15603	HMDB0000687		C00123	ROHFNLRQFUQHCH-YFKPBYRVSA-N	RM0136379
L-Leucine 13C6_R1	Leucine	C6H13NO2	131.0946	Organic acids	Amino acids and peptides	Amino acids	6106	15603	HMDB0000687		C00123	ROHFNLRQFUQHCH-YFKPBYRVSA-N	RM0136379
L-Leucine 13C6_R2	Leucine	C6H13NO2	131.0946	Organic acids	Amino acids and peptides	Amino acids	6106	15603	HMDB0000687		C00123	ROHFNLRQFUQHCH-YFKPBYRVSA-N	RM0136379
L-Leucine-D10_R1	-						-	-	-	-	-	-	-
L-Leucine-D10_R2	-						-	-	-	-	-	-	-
L-LYSINE_R1	Lysine	C6H14N2O2	146.1055	Organic acids	Amino acids and peptides	Amino acids	5962	18019	HMDB0000182		C00047	KDXKERNSBIXSRK-YFKPBYRVSA-N	RM0135903
L-LYSINE_R2	Lysine	C6H14N2O2	146.1055	Organic acids	Amino acids and peptides	Amino acids	5962	18019	HMDB0000182		C00047	KDXKERNSBIXSRK-YFKPBYRVSA-N	RM0135903
L-METHIONINE	Methionine	C5H11NO2S	149.0511	Organic acids	Amino acids and peptides	Amino acids	6137	16643	HMDB0000696		C00073	FFEARJCKVFRZRR-BYPYZUCNSA-N	RM0161726
