	Standardized_name	Formula	Exact_mass	Super_class	Main_class	Sub_class	Pubchem_CID	CHEBI_ID	HMDB_ID	LM_ID	KEGG_ID	INCHI_KEY	REFMET_ID
Proprionylcarnitine	CAR DC3:0	C10H17NO6	247.1056	Fatty Acyls	Fatty esters	Acyl carnitines	22833583	86047	HMDB0002095	LMFA07070080		ZGNBLKBZJBJFDG-ZETCQYMHSA-N	RM0154022
PYRIDINE-2,3-DICARBOXYLATE	Quinolinic acid	C7H5NO4	167.0219	Alkaloids	Pyridine alkaloids	Nicotinic acid alkaloids	1066	16675	HMDB0000232		C03722	GJAWHXHKYYXBSV-UHFFFAOYSA-N	RM0135916
PYRIDOXAL	Pyridoxal	C8H9NO3	167.0582	Alkaloids	Pyridine alkaloids	Nicotinic acid alkaloids	1050	17310	HMDB0001545		C00250	RADKZDMFGJYCBB-UHFFFAOYSA-N	RM0156676
QUINATE_R1	Quinic acid	C7H12O6	192.0634	Benzenoids	Benzenes	Hydroxybenzoic acids	6508	17521	HMDB0003072		C00296	AAWZDTNXLSGCEK-WYWMIBKRSA-N	RM0071875
QUINATE_R2	Quinic acid	C7H12O6	192.0634	Benzenoids	Benzenes	Hydroxybenzoic acids	6508	17521	HMDB0003072		C00296	AAWZDTNXLSGCEK-WYWMIBKRSA-N	RM0071875
SPERMIDINE	Spermidine	C7H19N3	145.1579	Alkaloids	Ornithine alkaloids	Polyamines	1102	16610	HMDB0001257		C00315	ATHGHQPFGPMSJY-UHFFFAOYSA-N	RM0041813
SPERMINE	Spermine	C10H26N4	202.2157	Alkaloids	Ornithine alkaloids	Polyamines	1103	15746	HMDB0001256		C00750	PFNFFQXMRSDOHW-UHFFFAOYSA-N	RM0033343
Stachydrine	Stachydrine	C7H14NO2	144.1025	Organic acids	Amino acids and peptides	Amino acids	7016563	35280	HMDB0240479		C10172	CMUNUTVVOOHQPW-ZCFIWIBFSA-O	RM0159324
TAURINE	Taurine	C2H7NO3S	125.0147	Organic acids	Sulfonic acids	Sulfonic acids	1123	15891	HMDB0000251		C00245	XOAAWQZATWQOTB-UHFFFAOYSA-N	RM0118223
THREONINE/HOMOSERINE	Threonine/Homoserine	C4H9NO3	119.0582	Organic acids	Amino acids and peptides	Amino acids							RM0052423
Trigonelline	Trigonelline	C7H7NO2	137.0477	Alkaloids	Pyridine alkaloids	Nicotinic acid alkaloids	5570	18123	HMDB0000875		C01004	WWNNZCOKKKDOPX-UHFFFAOYSA-N	RM0136017
Tryptophan	Tryptophan	C11H12N2O2	204.0899	Organic acids	Amino acids and peptides	Amino acids	6305	16828	HMDB0000929		C00078	QIVBCDIJIAJPQS-VIFPVBQESA-N	RM0136024
Tryptophan-2,3,3-D3	Tryptophan	C11H12N2O2	204.0899	Organic acids	Amino acids and peptides	Amino acids	6305	16828	HMDB0000929		C00078	QIVBCDIJIAJPQS-VIFPVBQESA-N	RM0136024
Tryptophan-2,3,3-D3-NH3	Tryptophan	C11H12N2O2	204.0899	Organic acids	Amino acids and peptides	Amino acids	6305	16828	HMDB0000929		C00078	QIVBCDIJIAJPQS-VIFPVBQESA-N	RM0136024
Tryptophan-NH3	Tryptophan	C11H12N2O2	204.0899	Organic acids	Amino acids and peptides	Amino acids	6305	16828	HMDB0000929		C00078	QIVBCDIJIAJPQS-VIFPVBQESA-N	RM0136024
URATE	Uric acid	C5H4N4O3	168.0283	Nucleic acids	Purines	Xanthines	1175	17775	HMDB0000289		C00366	LEHOTFFKMJEONL-UHFFFAOYSA-N	RM0160856
URIDINE	Uridine	C9H12N2O6	244.0695	Nucleic acids	Pyrimidines	Pyrimidine ribonucleosides	6029	16704	HMDB0000296		C00299	DRTQHJPVMGBUCF-XVFCMESISA-N	RM0135933
UROCANATE	Urocanic acid	C6H6N2O2	138.0429	Alkaloids	Histidine alkaloids	Imidazole alkaloids	736715	30817	HMDB0000301		C00785	LOIYMIARKYCTBW-OWOJBTEDSA-N	RM0135935
Ursodeoxycholic Acid (UDCA)_R1	Ursodeoxycholic acid	C24H40O4	392.2927	Sterol Lipids	Bile acids	C24 Bile acids	31401	9907	HMDB0000946	LMST04010033	C07880	RUDATBOHQWOJDD-UZVSRGJWSA-N	RM0160855
Ursodeoxycholic Acid (UDCA)_R2	Ursodeoxycholic acid	C24H40O4	392.2927	Sterol Lipids	Bile acids	C24 Bile acids	31401	9907	HMDB0000946	LMST04010033	C07880	RUDATBOHQWOJDD-UZVSRGJWSA-N	RM0160855
Xanthurenic Acid	Xanthurenic acid	C10H7NO4	205.0375	Alkaloids	Anthranilic acid alkaloids	Acridone alkaloids	5699	10072	HMDB0000881		C02470	FBZONXHGGPHHIY-UHFFFAOYSA-N	RM0032268
