BLS001A	BLS010A	BLS010A_2	BLS002A	BLS003A	BLS010A_3	BLS001A_2	BLS001A_3	BLS002A_2	BLS003A_2	BLS003A_3	BLS002A_3
2627030	2851174	3081474	2267274	1712673	2872996	2485551	2363200	1386808	1133741	1007661	1585499
187000000	405000000	457000000	131000000	122000000	445000000	320000000	339000000	402000000	405000000	344000000	388000000
112402	208284	52840	362561	20731	138467	170505	171793	118761	242151	123990	254664
44675	45118	0	77773	3722	27812	61824	30045	30332	75187	30015	82105
10200000	6185664	6783494	3317812	3629521	6564453	29700000	29000000	13900000	26600000	20200000	12600000
829650	2455044	2437184	702544	209586	1826495	1640360	2088782	1542023	1112408	907106	1563293
5015562	14100000	17500000	2127707	1649433	16000000	14500000	18000000	11100000	15100000	11100000	11400000
0	0	0	0	0	0	0	0	0	0	0	0
1047994	908126	308246	1038125	855578	589259	1007071	812833	630320	1627642	1513703	1058594
139094	112342	118641	147867	114798	97041	107526	115429	111980	114578	122357	94388
46400000	67800000	76800000	43800000	47900000	107000000	73500000	53200000	86700000	62400000	77700000	81400000
636959	2763487	3445877	205943	519135	2686518	1311563	1329067	1991041	717213	522906	2448622
459000000	779000000	811000000	387000000	254000000	784000000	724000000	767000000	667000000	715000000	589000000	657000000
1339070	3477304	1958144	5312932	809825	2371468	1211164	1560467	1145907	1308346	1301572	1329237
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	13688	13709	0	0	13934	10838	5955	3309	6285	4248	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	3858	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	14541	15852	0	0	16456	5392	4231	0	0	0	0
0	7925	6034	0	0	4379	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	4242
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
563856	4903821	2650818	10600000	1986787	3877270	2314076	3291870	6252590	14300000	11100000	8698861
154264	532845	143226	528056	19542	299334	135269	90353	173264	131534	81407	416897
59200000	65600000	87700000	24800000	31700000	87700000	107000000	124000000	136000000	185000000	125000000	147000000
838990	1206517	1143118	1165346	2233891	1213520	960045	905381	948997	1728728	1728471	961213
13800000	13000000	15700000	5426594	1872701	14100000	54300000	57500000	39700000	18800000	13400000	42400000
37314	0	0	0	0	0	0	0	0	0	0	0
551623	591656	618576	205488	86600	438795	1418525	1526105	962395	791552	532033	1030355
28200000	76200000	89400000	27200000	11200000	98200000	89800000	77900000	112000000	78900000	68300000	102000000
5109950	973539	1230119	1166907	684575	1313786	19800000	19100000	7022322	5745524	4337090	7258613
11900000	8074480	9260865	3554523	4125348	8576894	34800000	35600000	15700000	33000000	23300000	16000000
2577738	638167	721638	781571	449664	923763	10500000	10300000	4456889	4047495	2973132	4778074
1506596	345863	421109	452555	237200	472895	6110555	5669254	2462818	2181304	1619138	2583549
113503	198401	262466	105507	37532	313704	430362	419208	634787	275970	206356	733058
414814	1418640	1817369	238801	805396	1569935	1525667	1669505	1713034	7259920	4921444	1792376
20400000	19200000	19500000	15700000	19000000	17300000	18000000	19200000	17800000	22000000	20800000	18400000
0	146703	0	0	0	0	0	0	0	0	0	0
28200000	41800000	45700000	65400000	46900000	45900000	37300000	36300000	40100000	41500000	34400000	44100000
469000000	796000000	899000000	305000000	212000000	883000000	943000000	988000000	796000000	722000000	613000000	823000000
18883	0	21324	36495	15753	30101	16205	0	28628	0	20392	31353
1328710	2957567	896581	9873424	637440	1318802	798709	1008582	934634	453654	508239	1067066
141044	168224	284725	173392	52855	202192	222176	194044	868548	329675	211302	601974
118873	111329	207719	93974	33163	119200	206740	192640	502909	246364	165487	393729
4402614	225000000	258000000	19400000	521324	241000000	39100000	43600000	136000000	5816935	4416038	116000000
40600000	45700000	47700000	33000000	25800000	48300000	37500000	36400000	22100000	16700000	16200000	23900000
11900000	46100000	51800000	13500000	3895915	46300000	40300000	39800000	26300000	37300000	25200000	31400000
416708	1224634	1332005	1702940	508523	1297788	1371350	1311124	1933538	5122600	3269713	2258588
92295	119909	116251	50048	0	276669	368677	114387	710275	83727	104264	715811
35800000	113000000	137000000	32100000	8002381	113000000	123000000	125000000	68700000	76000000	50300000	81500000
175868	343849	584499	148120	77451	412883	348255	437689	208095	310287	217393	283033
37800000	35900000	34900000	35500000	33600000	30600000	35000000	35500000	31100000	37900000	35500000	33900000
0	35694	0	9792	0	0	0	0	0	0	8953	0
32100000	31400000	30300000	28100000	27500000	26300000	28700000	30700000	26100000	31200000	28500000	26000000
12547	0	48848	7553	0	0	11396	0	0	52630	8280	0
3599752	3446189	2743480	5463348	1941203	2919714	4296163	4292248	3950814	3615061	3641321	4319961
770779	764435	643295	947091	469358	787444	1313303	1481296	1291363	1382183	1317532	1496615
4999564	17900000	19200000	7917883	1039355	18900000	24100000	24900000	21000000	13200000	10100000	25000000
29500000	31700000	30400000	28800000	28100000	28300000	29200000	31000000	26500000	30900000	28300000	28700000
26800000	60400000	61000000	44800000	15900000	59100000	61200000	61300000	57800000	67200000	57500000	59600000
3268104	6349969	6360522	3986366	1667075	5776166	2954134	3503794	2292656	1565869	1582796	2521408
5212962	5451212	5349401	4907046	4732551	4948494	4856992	5150985	4548389	5206194	4985645	4708424
0	4099	0	0	3538	0	2950	0	0	0	0	5936
0	0	0	0	0	0	0	0	0	0	0	0
22060	191938	15680	162810	236155	104729	54810	4260	15948	13857	49372	138013
0	0	0	0	0	0	0	0	0	0	0	0
36874	97115	24958	39852	556988	46303	218305	32544	69668	145538	141374	162421
14356	347277	16034	120015	345036	173151	47097	0	15831	24896	73403	166261
0	100285	4152	64606	201852	46124	20916	0	11714	16913	39099	79687
0	175321	16221	54306	59051	114659	26848	5059	17531	13374	24449	92639
0	0	0	507600	0	0	0	0	0	0	0	0
11400000	14000000	16100000	2919163	28800000	15800000	11600000	12300000	2193798	16700000	16100000	2207430
279174	2459014	3221002	300326	215203	3975407	996976	841893	2574810	1645932	1664545	2551774
275220	2231716	2889526	271959	187755	3657396	285238	322457	732714	868400	1026250	701785
2020143	12100000	15000000	2271880	1875992	16700000	5053066	4614470	12200000	13600000	11000000	12000000
101128	382624	413810	64945	50352	347574	366408	395825	342438	361820	295239	339614
72907	117936	138100	57222	51990	109981	156328	154077	201867	196431	203185	193398
2117307	6447238	7834932	1167364	282754	7608493	7065714	7586128	5512439	3093961	2566152	5714509
14400000	13300000	13100000	12900000	13300000	11000000	11900000	13100000	11000000	13500000	12800000	10900000
788122	976009	1133355	746734	730797	1358203	1400345	1378940	1116754	1242486	1021465	1211479
14400000	11100000	13200000	12400000	12200000	10800000	12700000	14000000	11900000	15400000	13400000	11700000
32300000	26200000	30400000	30700000	33600000	27200000	28500000	28400000	28300000	27200000	28000000	27400000
3352987	2690597	3398476	3628435	4022371	3506778	3199390	3072706	3352617	2813012	2980718	3062418
6897200	5265036	3234839	3432638	4369835	5177225	18100000	18300000	9405989	33300000	19100000	11600000
4768670	13500000	22100000	252797	1344442	23400000	16100000	15100000	19900000	9627780	4733593	15700000
27900000	45500000	50200000	7241241	4156387	53000000	94300000	87100000	23000000	37500000	25800000	24400000
82940	215278	234554	53673	45842	223341	239795	227389	229336	156192	135778	251794
96900000	210000000	200000000	200000000	26700000	194000000	154000000	163000000	174000000	79300000	69700000	187000000
147842	436812	516018	133320	85181	551341	378366	343205	746514	757803	493231	912257
745025	1630020	1415197	1222873	480688	1430690	748904	695877	1155839	525640	672951	1160361
4167405	2947857	2501652	7025341	2343998	2110987	1971366	2145401	1418138	1839870	1914384	1666769
35000000	235000000	290000000	10800000	11800000	288000000	138000000	140000000	71900000	112000000	91900000	76600000
26100000	138000000	163000000	21300000	6814622	146000000	89500000	96200000	71100000	55600000	37000000	82300000
717000000	1410000000	1510000000	527000000	432000000	1470000000	1260000000	1320000000	851000000	1120000000	1000000000	827000000
12300000	4798671	6122005	4507402	1094428	5470439	35800000	36200000	14400000	8805356	6556988	14200000
2892874	4287032	5042040	1549322	886319	4648172	9466059	9674856	6001797	8545745	6659124	5849706
29200000	55500000	65900000	20900000	11200000	74200000	94700000	84600000	63300000	67600000	57600000	67500000
144019	280381	297546	122829	107790	185350	258512	330528	161149	572232	441740	199770
7300920	15500000	19600000	4685234	2424046	20200000	17500000	17000000	14700000	18500000	13900000	16300000
929687	391505	537490	87845	70607	655044	770310	578433	625470	538552	515658	528205
254205	704632	909738	186040	162031	944300	793972	764400	904220	845865	745571	809613
5600973	49000000	8190723	48800000	2057960	29000000	35500000	24200000	18900000	30700000	28200000	58000000
730688	8365555	1156766	4301491	608416	5068831	9041641	6681306	4451617	8474068	6076797	13900000
4068280	1038024	1269079	495174	19700000	1146143	10800000	11300000	2073422	120000000	97100000	1993478
12000000	13000000	9029570	23300000	21800000	9315264	5126436	5309960	9162842	10200000	19000000	8033420
4327685	12400000	14200000	8839897	1613134	12200000	8212048	8167540	17100000	5934111	5165789	17100000
9998955	12200000	12200000	6416987	7352245	12100000	15900000	16700000	16400000	19400000	17100000	17200000
9068285	18900000	21900000	4503465	1657820	21000000	33400000	32500000	21300000	7594509	5355608	24800000
106000000	109000000	107000000	104000000	106000000	100000000	107000000	105000000	95100000	108000000	101000000	104000000
43400000	44900000	43900000	42700000	44000000	40900000	43600000	42900000	38500000	44700000	41000000	42500000
3928661	8267473	9672573	1973751	738823	9002842	14500000	14400000	9251853	3223889	2387437	10800000
32300000	92800000	102000000	32200000	18800000	84200000	70700000	76500000	61000000	154000000	110000000	67700000
1121536	2280159	2401690	1656640	119217	3852157	3767735	3337448	4492772	1822410	1401903	5158994
2081888	9862767	11500000	2034716	3014694	13100000	4515400	4040801	15500000	22700000	16500000	15000000
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
184931	70983	88659	23204	99129	72100	727879	712893	153689	837875	590580	170660
											
Retention Index	Moverz Quant	Local ID	PubChem CID	KEGG ID	mass spectrum						
1.49					171.0268						
3.34			6950574		182.081						
1.63			6131		324.059						
3.14			89		225.0869						
1.19			111		133.0608						
0.79			119		104.0711						
0.93			119		104.0711						
1.58			500		146.0924						
1.31			649		115.0505						
0.73			137		132.0656						
6.66			144		221.0921						
6.88			144		221.092						
0.8			237332		127.0392						
1.75			7405		130.05						
6.73					262.1648						
1.44			190		136.0617						
1.54			190		136.0616						
1.09			51		147.0289						
0.71					90.0555						
0.9					90.0555						
0.69					203.0527						
6.05			2094		137.0459						
0.89					162.0762						
8.61			227		120.0447						
0.71			5960		134.0449						
0.6			5960		134.0449						
0.98			247		118.0865						
11.41			637610		166.0863						
10					182.0812						
10					304.1153						
7.89			13001298		198.1065						
12.37					357.2783						
12.26					357.2783						
11.3					450.321						
11.45					450.3207						
11.15			221493		373.2735						
0.85			305		104.1074						
0.78			9750		176.1032						
1.01			6131		324.0589						
1.22			6131		324.0589						
0.89			586		132.0769						
0.89					135.0956						
0.69					157.0795						
0.92			588		114.0666						
3.11			123847		542.0686						
3.19			123847		542.069						
1.56			6175		244.0923						
1.01			597		112.051						
1.35			725		146.1176						
0.61			1029		163.1076						
1.08			5351619		231.0986						
11.13			440743		209.0918						
0.8					180.0867						
3.82			65359		307.083						
0.75			71920		258.11						
0.71			750		76.04						
10.46					488.2982						
10.46					448.3056						
10.46					430.2951						
10.38					466.3164						
10.46					466.3164						
11.44					432.3105						
11.3					472.303						
11.45					472.303						
11.3					432.3102						
11.3					414.2997						
10.63					432.3109						
10.63					414.2997						
10.64					450.321						
1.44			764		152.0565						
1.77			764		152.0567						
0.72					365.1052						
1.01					365.1053						
7.93			464		180.0656						
1.01			778		136.0425						
7.92			10253		196.0394						
7.51			10177002		232.1543						
7.42			10177002		232.1544						
1.56			66950		112.051						
8.04			169235		246.1699						
8.18			169235		246.1699						
8.25			169235		246.1699						
7.71			3845		190.0499						
0.76			612		91.0395						
0.75			112072		241.1296						
0.7			6322		175.1189						
0.96			10917		162.1125						
0.67			439258		223.074						
0.7			67678		241.0309						
7.34					229.1546						
7.18					229.1546						
0.71			5961		147.0764						
0.69			6274		156.0768						
2.22			6306		132.1021						
6.51			161166		209.0919						
0.88			439283		191.1028						
2.53			857		132.1021						
2.45			857		132.1021						
2.53					138.1221						
2.44					138.1221						
2.49					142.1647						
2.41					142.1648						
0.63			5962		147.1128						
0.7			5962		147.1127						
1.38			6137		150.0584						
6.26					172.1063						
0.84			145742		116.071						
0.7			5951		106.0503						
3.34					188.1009						
13.64					518.3213						
12.84			24779461		494.3239						
13.03					520.3398						
13.82					544.3394						
14.48					482.3242						
13.46			9547071		480.3085						
13.63			9547071		480.3086						
12.92					526.2922						
0.82			94214		217.0667						
0.71			64969		170.092						
5.22					153.0657						
5.29					153.0657						
4.82			440810		153.0658						
1.57			67427		217.1295						
1.41			65065		176.0555						
1.25			92907		189.1232						
8.5					134.0449						
8.5					256.0788						
10.88			2734668		132.102						
11.44					205.0971						
11.44					327.1311						
1.57			936		123.0556						
1.37			936		123.0556						
1.05			14180		335.0635						
1.54					139.0497						
0.75			22880		148.0605						
10.51			11953814		288.2168						
0.63			6262		133.0973						
0.76			1061		98.9844						
6.61			6613		220.1179						
6.27			6140		166.0863						
0.71			1014		184.0733						
1.2			439227		130.0865						
1.28			439227		130.0864						
6.79			107738		218.1388						
1.76			1066		168.0283						
1.87			1050		168.0654						
1.08			6508		193.0707						
0.89			6508		193.0708						
0.56			1102		146.1652						
0.54			1103		203.2231						
1.04			115244		144.102						
0.7			1123		126.0223						
0.72					120.0657						
0.93			5570		138.0551						
7.67			6305		205.0974						
7.66					208.1163						
7.67					191.0898						
7.67					188.0707						
1.75			1175		169.0355						
2.71			6029		267.0586						
1.93			736715		139.0502						
11.41					357.2783						
11.51					357.2783						
7.46			5699		206.0448						
